id;shareholding_flag_type_code;shareholding_flag_type;shareholding_type_description
1;Y;system Networked;../fake-data/blob/hipster.txt
2;N;AI;../fake-data/blob/hipster.txt
3;N;Cambridgeshire connect invoice;../fake-data/blob/hipster.txt
4;N;Car;../fake-data/blob/hipster.txt
5;Y;Mali View Shoes;../fake-data/blob/hipster.txt
6;N;target Cotton;../fake-data/blob/hipster.txt
7;Y;programming virtual;../fake-data/blob/hipster.txt
8;Y;technologies PCI;../fake-data/blob/hipster.txt
9;N;Licensed;../fake-data/blob/hipster.txt
10;Y;deposit hack microchip;../fake-data/blob/hipster.txt
