id;source_or_purpose_type_code;source_or_purpose_of_remittance_flag;source_or_purpose_of_remittance_type;remittance_purpose_type_details
1;invoice Borders lavender;PURPOSE_OF_REMITTANCE;Engineer Granite Chips;../fake-data/blob/hipster.txt
2;Plastic Infrastructure Turnpike;PURPOSE_OF_REMITTANCE;SCSI;../fake-data/blob/hipster.txt
3;reboot Michigan modular;SOURCE_OF_FUNDS;Buckinghamshire;../fake-data/blob/hipster.txt
4;Bolivar Minnesota;SOURCE_OF_FUNDS;Forward York;../fake-data/blob/hipster.txt
5;EXE neural reboot;SOURCE_OF_FUNDS;purple;../fake-data/blob/hipster.txt
6;Sleek parse;SOURCE_OF_FUNDS;Caicos;../fake-data/blob/hipster.txt
7;Plaza ROI;PURPOSE_OF_REMITTANCE;logistical Switchable Keyboard;../fake-data/blob/hipster.txt
8;incubate frictionless Account;SOURCE_OF_FUNDS;Roads Account Configuration;../fake-data/blob/hipster.txt
9;Identity Michigan;PURPOSE_OF_REMITTANCE;Creative Agent Licensed;../fake-data/blob/hipster.txt
10;transmitter;SOURCE_OF_FUNDS;IB Handcrafted generate;../fake-data/blob/hipster.txt
