id;name;identifier;lease_contract_id;debit_id;credit_id
1;Ergonomic target Steel;b675abc3-7a8a-4a13-8690-aea3e96e6c36;1;1;1
2;Cambodia;294962ff-fc5a-4491-8e63-85adc70bc038;2;2;2
3;Adaptive application;b29a1531-2d6d-4a12-b3ab-658fec19ac16;3;3;3
4;Keyboard;77d86c83-443f-4b3b-ac9b-b0769c1a7b35;4;4;4
5;out-of-the-box;39f2aebd-633d-4c50-84db-4cba060d23e6;5;5;5
6;Handcrafted middleware Factors;97b79f23-3d80-4ff4-8d6c-2607567134b1;6;6;6
7;Forward UAE Ireland;46b73b51-6b46-49fc-9756-f789beacca8d;7;7;7
8;Health cross-platform;6792628f-b019-4455-a549-6ee7b47db9fe;8;8;8
9;bypassing Concrete Nauru;e2909314-3f43-4570-bfad-9a6c05c252bf;9;9;9
10;Specialist Officer;3f189576-a7a5-446f-baf6-f8200deca8f0;10;10;10
