id;sequence_number;particulars;instalment_date;instalment_amount;settlement_currency;outlet_code;settlement_transaction;settlement_transaction_date;dealer_name;work_project
1;SAS productize;EXE;2025-02-02;2036;Self-enabling Gloves;Handmade Assistant;Grocery Pizza motivating;2025-02-02;magnetic Clothing;online synergy
2;Democratic impactful Car;Cross-platform;2025-02-03;14312;Practical Computers;Solomon;Jewelery emulation;2025-02-02;Money Assurance Configurable;Buckinghamshire
3;Interactions monitor payment;Cambridgeshire Garden;2025-02-03;60039;Shoes Brazilian Money;Unbranded overriding;Harbor Berkshire withdrawal;2025-02-02;synthesizing generate end-to-end;Berkshire firewall
4;Nepalese;Islands Credit;2025-02-02;58166;Frozen;Soap;Buckinghamshire Michigan deposit;2025-02-03;Savings;Cotton Practical
5;hack Mississippi;program;2025-02-03;59535;Licensed Customizable;Future hard Samoa;Martinique;2025-02-03;invoice;cultivate HDD experiences
6;Brand cyan National;Mississippi Bermuda;2025-02-02;96040;turquoise overriding;Mobility;copy;2025-02-03;Tennessee up;Optimization model
7;Harbors withdrawal Awesome;Incredible;2025-02-02;5042;Frozen;invoice secondary Sierra;mint Clothing;2025-02-02;EXE Officer;withdrawal
8;Personal;Shoes Islands Tanzania;2025-02-02;78068;compress;Specialist;online Direct user-centric;2025-02-03;strategic;deposit Steel
9;envisioneer Dynamic;deposit deposit Well;2025-02-02;95793;invoice;Baby Automotive;AGP regional;2025-02-03;national Points Belgium;auxiliary
10;Cotton action-items;Jordan Pants;2025-02-02;73373;Outdoors Hat Fantastic;Cambridgeshire;Pants Burg;2025-02-03;Sports metrics magnetic;Islands
