id;project_title;dealer_name;number_of_items;instalment_amount;transfer_amount;outstanding_amount
1;Borders;Granite;74616;9540;42144;95266
2;Bedfordshire invoice;methodical;93549;80834;37807;38971
3;Sleek benchmark;Jewelery payment;61362;73875;75929;22825
4;optical Shoes initiative;dot-com USB Road;55437;19771;94961;38650
5;Chief Bedfordshire Director;array;21667;45762;39149;31725
6;Vietnam;hacking Latvian Bedfordshire;49935;6108;25781;29586
7;Chicken;Coordinator;38486;4323;15615;6647
8;Garden;Incredible Rubber hacking;84226;33565;27743;99223
9;Coordinator;migration optimal indexing;6909;91903;24156;41678
10;user-facing Avon enable;edge Awesome;82330;2822;24290;55464
