id;description;target_asset_number;transfer_amount;transfer_date;transfer_type
1;Washington purple;Account;85115;2022-04-18;CAPITALIZATION
2;Global;Soft;41331;2022-04-18;CAPITALIZATION
3;payment;Garden hour;11787;2022-04-17;CAPITALIZATION
4;Group e-business;Cambridgeshire Reactive;49532;2022-04-17;REVERSAL
5;Books generate;Assimilated;31808;2022-04-18;DEBIT_TRANSFER
6;Lane Tugrik Account;Pants target;30675;2022-04-18;DEBIT_TRANSFER
7;Gorgeous;Account Way Plastic;96187;2022-04-17;CREDIT_NOTE
8;cutting-edge;Internal Mouse Rubber;90258;2022-04-18;DEBIT_TRANSFER
9;enterprise;Australian solid;65210;2022-04-18;CAPITALIZATION
10;Metal;fuchsia;10486;2022-04-17;DEBIT_TRANSFER
