id;academic_qualifications_code;academic_qualification_type;academic_qualification_type_detail
1;withdrawal;protocol Dynamic;../fake-data/blob/hipster.txt
2;disintermediate Georgia Dalasi;Re-contextualized Credit Automotive;../fake-data/blob/hipster.txt
3;Hat experiences supply-chains;asynchronous Summit;../fake-data/blob/hipster.txt
4;Regional circuit Glen;PNG Division;../fake-data/blob/hipster.txt
5;Technician Pitcairn Flats;Chief;../fake-data/blob/hipster.txt
6;Operations Regional content;tan infomediaries;../fake-data/blob/hipster.txt
7;Peso Canada reboot;Soft;../fake-data/blob/hipster.txt
8;Metal tangible;Ergonomic open-source synergize;../fake-data/blob/hipster.txt
9;Hat panel;Ball panel;../fake-data/blob/hipster.txt
10;Dynamic;Somoni world-class Inlet;../fake-data/blob/hipster.txt
