id;account_ownership_type_code;account_ownership_type;description
1;black Fantastic;1080p Loan;../fake-data/blob/hipster.txt
2;synthesize Buckinghamshire;Refined primary;../fake-data/blob/hipster.txt
3;olive transition hard;Garden projection Loop;../fake-data/blob/hipster.txt
4;world-class;Bike infrastructure;../fake-data/blob/hipster.txt
5;AGP scale deposit;Clothing Buckinghamshire;../fake-data/blob/hipster.txt
6;Barbados methodologies eyeballs;approach Steel;../fake-data/blob/hipster.txt
7;Steel Estate;Universal system Agent;../fake-data/blob/hipster.txt
8;e-enable Georgia;Knolls Lights;../fake-data/blob/hipster.txt
9;invoice SSL;engage;../fake-data/blob/hipster.txt
10;Forward hack software;Gardens Rustic Industrial;../fake-data/blob/hipster.txt
