id;catalogue_number;debit_account;credit_account;description;amortization_amount
1;programming Orchestrator;card analyzing Gibraltar;Steel;synthesizing Gabon encompassing;88072
2;Direct;Afghani;users;withdrawal;68030
3;strategic;turquoise 5th Djibouti;synergies Director bus;quantifying;17165
4;Pennsylvania;Wells Cambridgeshire Plastic;bypass;Managed Pants systems;89469
5;backing;enable Avon client-server;Loan Response Shoes;XML National;56281
6;lavender deposit;Markets;Keys Jordanian;Identity Credit;65989
7;Frozen;Cheese;optical;Chair Wooden budgetary;50169
8;neural Incredible;morph Steel;Chair middleware;Configuration Guinea Practical;43718
9;Fantastic mint;Senior Account Account;Engineer;Handmade JBOD Loan;91192
10;Plastic copying Quality-focused;salmon Locks Loan;system Kids;Chief Specialist RSS;18080
