id;asset_disposal_reference;description;asset_cost;historical_cost;accrued_depreciation;net_book_value;decommissioning_date;disposal_date;dormant;effective_period_id
1;04dbed00-4157-416b-9c8e-560f3b9c0fa1;Global generating;14860;58269;90801;16130;2024-03-20;2024-03-21;false;1
2;664103ac-4311-43d4-b235-100ce5ce70e6;THX;11748;10591;47683;54663;2024-03-20;2024-03-20;true;2
3;dca9ab2d-0d95-4032-8758-7efba3f53dff;functionalities;86446;48587;99612;49218;2024-03-20;2024-03-20;true;3
4;cd2f8a3a-356a-455f-8eca-70cd5933692e;transmit;63557;73933;2057;73999;2024-03-20;2024-03-20;true;4
5;0ae1046d-8797-4915-80b0-1c5c5b08601d;algorithm Legacy;63478;52217;80450;71700;2024-03-20;2024-03-20;false;5
6;805abb5b-b6bb-470a-a901-4ed2b31d0459;withdrawal Kids Savings;87413;32325;39716;99343;2024-03-20;2024-03-20;true;6
7;9047b077-7d11-4b3c-8ca9-1e7f6bfa0864;Security;90059;74899;3041;81730;2024-03-20;2024-03-20;true;7
8;7b555d3d-788f-4713-a95d-d31d4bab3308;Designer Brooks;2;95708;40435;72263;2024-03-20;2024-03-20;false;8
9;02427997-3353-4d9e-be69-ee88a9613ab4;Bedfordshire global Account;27299;12967;55014;92698;2024-03-20;2024-03-20;true;9
10;9a84acfe-8cc6-44f0-96e4-bb50dc7d947d;quantifying;64791;33760;91674;49745;2024-03-21;2024-03-20;true;10
