id;description;devaluation_amount;revaluation_date;revaluation_reference_id;time_of_creation;effective_period_id;revalued_asset_id
1;compressing;80721;2024-04-11;9445d3ec-750d-4984-9e3c-dda96722cb94;2024-04-11T16:45:05;1;1
2;Money;2090;2024-04-12;f3e7f515-e09b-4561-b6f1-3bc2f69cb554;2024-04-11T21:28:18;2;2
3;Marshall;94388;2024-04-11;4a049a60-acd9-4701-ad98-e40575cbf56a;2024-04-11T09:40:41;3;3
4;Toys matrix;69345;2024-04-11;cf61b88d-2e11-4fad-a1f1-48302dfc4c0d;2024-04-12T02:05:02;4;4
5;grow Table;97721;2024-04-11;4392df25-a75a-4e09-a08b-5c7b07f36856;2024-04-11T17:35:02;5;5
6;innovative Tasty;77640;2024-04-11;c7fe7fdb-fe87-4087-83a2-20d798b531eb;2024-04-11T09:40:41;6;6
7;Shore;93687;2024-04-11;7d8b9307-24a6-480b-8ace-8ed90ef134e3;2024-04-11T23:04:22;7;7
8;Buckinghamshire Tasty;46218;2024-04-11;08783b2b-4070-4c6b-b608-a024678ffb7c;2024-04-11T23:53:39;8;8
9;overriding quantifying;64180;2024-04-11;dd0dcefd-38ad-4136-ad2a-52e8e4bb045f;2024-04-12T00:00:38;9;9
10;Account Orchestrator;23451;2024-04-11;661a44c8-38e7-47e7-9aae-2fd5a6dafc4d;2024-04-11T18:07:13;10;10
