id;description;write_off_amount;write_off_date;write_off_reference_id;asset_written_off_id;effective_period_id
1;bypass Home e-enable;27007;2024-03-20;73085d16-458b-4132-96b0-f455d9f55e46;1;1
2;Egypt front-end;26063;2024-03-19;671c5bcc-b622-4873-b09e-28e64c1c1495;2;2
3;Chips;13193;2024-03-19;d80bbc03-04ae-4ff6-bff9-527e3eecc0d9;3;3
4;Rand Berkshire;94052;2024-03-20;4666635d-4c3b-4424-a358-41a784f711a9;4;4
5;Tuna redundant;99299;2024-03-19;757daf07-1524-4025-a50c-8c53f1ccb607;5;5
6;Facilitator;14794;2024-03-19;16f30a7d-0bf3-47c3-aa62-70b584ed1783;6;6
7;Future-proofed instruction;41726;2024-03-19;e5dc7850-a828-4975-a080-d42d742179d5;7;7
8;transmitting;16389;2024-03-20;b556a072-debe-4222-8dd0-148a9d5cdcf5;8;8
9;project;94584;2024-03-19;c83d2de7-6b11-406b-a6c9-dee2f5b76776;9;9
10;Montana IB synthesizing;36412;2024-03-20;a5ccebce-394d-475e-bc4a-51c9896b969d;10;10
