id;report_name;report_parameters;created_at;report_filename;report_file;report_file_content_type
1;Avon;conglomeration task-force;2023-12-06T14:08:03;0b933b7e-3300-4294-976c-917789767208;../fake-data/blob/hipster.png;image/png
2;Salad;groupware;2023-12-06T18:59:56;d7ef4823-535c-4bd9-b5a2-e1f6a3ef13a2;../fake-data/blob/hipster.png;image/png
3;feed Rustic sticky;connect Metal mindshare;2023-12-06T21:39:35;349c9aa5-234b-40dd-bc2f-aa47d3efcfb7;../fake-data/blob/hipster.png;image/png
4;invoice;Israel cross-platform;2023-12-06T09:03:55;f324db99-e2d6-4e02-87a5-ce374e847c04;../fake-data/blob/hipster.png;image/png
5;Sports;Account;2023-12-06T23:28:30;72c4d214-050f-43cc-852b-7c65b3b365ce;../fake-data/blob/hipster.png;image/png
6;implementation Salad;RSS;2023-12-07T05:41:32;76b53609-c0a4-406b-a4f7-a3e2c74e53b1;../fake-data/blob/hipster.png;image/png
7;invoice Electronics Director;systems Kentucky;2023-12-06T16:45:14;5cd18f0f-7f60-4793-a9d5-c602d375ae33;../fake-data/blob/hipster.png;image/png
8;capacitor grey Licensed;Steel;2023-12-06T19:26:24;4862727c-4862-4c8f-9ea5-e68554f2e699;../fake-data/blob/hipster.png;image/png
9;encryption Multi-layered;JSON;2023-12-07T05:37:46;bbf1fc03-f987-4bb1-9d5d-a8438b5fd78c;../fake-data/blob/hipster.png;image/png
10;orange New AI;Concrete Metrics;2023-12-06T21:13:19;d73a67e3-0fcd-491e-9874-e8fc6b29e91c;../fake-data/blob/hipster.png;image/png
