id;business_economic_segment_code;business_economic_segment;details
1;visionary port;Planner fault-tolerant Japan;../fake-data/blob/hipster.txt
2;Direct local Mews;West;../fake-data/blob/hipster.txt
3;De-engineered;Mississippi green;../fake-data/blob/hipster.txt
4;CFP payment vortals;Berkshire Analyst protocol;../fake-data/blob/hipster.txt
5;Peso killer Customer;face tan;../fake-data/blob/hipster.txt
6;high-level Representative Small;Rubber;../fake-data/blob/hipster.txt
7;monitor Louisiana Dynamic;bus;../fake-data/blob/hipster.txt
8;Operations;Internal;../fake-data/blob/hipster.txt
9;Vista;Netherlands compress wireless;../fake-data/blob/hipster.txt
10;Reactive Bike;override syndicate;../fake-data/blob/hipster.txt
