id;card_class_type_code;card_class_type;card_class_details
1;Music;program Account GB;../fake-data/blob/hipster.txt
2;project SCSI wireless;neural;../fake-data/blob/hipster.txt
3;deliverables;feed;../fake-data/blob/hipster.txt
4;Fantastic Utah;Engineer Clothing JSON;../fake-data/blob/hipster.txt
5;Intuitive withdrawal;back-end Analyst;../fake-data/blob/hipster.txt
6;Wooden;quantifying;../fake-data/blob/hipster.txt
7;Licensed engage;Phased Future Automotive;../fake-data/blob/hipster.txt
8;Delaware;portals copying;../fake-data/blob/hipster.txt
9;Islands invoice interface;Frozen Loaf Frozen;../fake-data/blob/hipster.txt
10;bluetooth Borders moratorium;copying;../fake-data/blob/hipster.txt
