id;chart_of_accounts_code;chart_of_accounts_class;description
1;Account withdrawal IB;Tenge;../fake-data/blob/hipster.txt
2;turquoise;visualize Nevada Centers;../fake-data/blob/hipster.txt
3;Riel Salad;Argentina Dinar Chips;../fake-data/blob/hipster.txt
4;withdrawal;Avon lime Pizza;../fake-data/blob/hipster.txt
5;Wyoming Branding end-to-end;mobile;../fake-data/blob/hipster.txt
6;Dong;Plastic enhance;../fake-data/blob/hipster.txt
7;Cross-group Spain;Director Account Analyst;../fake-data/blob/hipster.txt
8;Practical utilize Savings;Dinar;../fake-data/blob/hipster.txt
9;New;copy deposit BEAC;../fake-data/blob/hipster.txt
10;green Monaco maximize;Focused Avon pricing;../fake-data/blob/hipster.txt
