id;reporting_date;collateral_id;loan_contract_id;customer_id;registration_property_number;collateral_omv_in_ccy;collateral_fsv_in_lcy;collateral_discounted_value;amount_charged;collateral_discount_rate;loan_to_value_ratio;name_of_property_valuer;collateral_last_valuation_date;insured_flag;name_of_insurer;amount_insured;insurance_expiry_date;guarantee_insurers;bank_code_id;branch_code_id;collateral_type_id
1;2023-10-04;Account Advanced;"801620034351434";Tunisian;Networked;28362;97268;38419;90827;82177;46276;area Small fuchsia;2023-10-04;N;Coordinator transmitting;40065;2023-10-03;real-time Borders Spur;1;1;1
2;2023-10-03;Handmade blue;"431181141005518";Fish;Legacy;87928;40736;81656;73759;43045;13301;solutions Internal open;2023-10-03;N;mesh payment web-readiness;79232;2023-10-04;radical Chicken;2;2;2
3;2023-10-03;Rubber;"152709846261587";Home Orchestrator Ukraine;Salad Buckinghamshire Plaza;31069;45054;82599;78414;92450;974;viral Operations Personal;2023-10-04;N;salmon invoice Pizza;39467;2023-10-04;AI purple;3;3;3
4;2023-10-03;olive Unbranded Incredible;"960767456215635";synergize;overriding Well Corporate;31041;75895;4162;24538;79165;56735;GB Generic;2023-10-03;Y;channels PCI;83331;2023-10-04;1080p Tasty Incredible;4;4;4
5;2023-10-04;connect matrix Planner;"295527460127840";system violet Borders;program compressing;77403;72849;89103;71562;28589;73287;Refined synthesize Verde;2023-10-03;N;Dollar Berkshire Reunion;20098;2023-10-04;Coordinator;5;5;5
6;2023-10-03;Orchestrator;"550623618694583";HDD next-generation;Fantastic;88957;85962;4364;21856;68873;76694;Hat Buckinghamshire;2023-10-04;Y;analyzing Computers service-desk;72504;2023-10-04;Bhutanese;6;6;6
7;2023-10-04;Automotive Function-based;"241720313560344";redefine (Vatican secondary;Avon Lake firewall;70267;19186;98205;612;76667;30159;Games;2023-10-03;Y;Berkshire;38741;2023-10-04;bricks-and-clicks;7;7;7
8;2023-10-04;reinvent info-mediaries Profound;"754226832231583";Specialist RSS Bacon;indigo parsing Dynamic;12816;40309;96201;88188;36179;72089;overriding Strategist;2023-10-04;N;Customer;50044;2023-10-04;generate Avon functionalities;8;8;8
9;2023-10-03;Fields Licensed hacking;"988213507023818";SAS;reinvent Kuwait Generic;99573;80897;35646;42287;39770;43157;Oregon;2023-10-03;N;Cambridgeshire Garden green;31323;2023-10-04;program plug-and-play sensor;9;9;9
10;2023-10-04;Gorgeous Mobility Representative;"809187979478282";salmon Cambridgeshire Keyboard;white;32111;51412;46890;45030;97713;41333;Central B2C Buckinghamshire;2023-10-04;N;Developer Branding;80127;2023-10-03;Uzbekistan Applications Illinois;10;10;10
