id;collateral_type_code;collateral_type;collateral_type_description
1;Berkshire Idaho Nigeria;Ameliorated;../fake-data/blob/hipster.txt
2;Representative;Handmade Wooden red;../fake-data/blob/hipster.txt
3;Fresh Valleys Frozen;infomediaries;../fake-data/blob/hipster.txt
4;Health Hat Kwanza;Soap XSS;../fake-data/blob/hipster.txt
5;methodical Generic Principal;deposit;../fake-data/blob/hipster.txt
6;Wooden Branding Rubber;silver synthesize Borders;../fake-data/blob/hipster.txt
7;calculate;maximize Open-architected;../fake-data/blob/hipster.txt
8;Cheese Future Rubber;ivory;../fake-data/blob/hipster.txt
9;Republic;Concrete;../fake-data/blob/hipster.txt
10;Steel;Creative Manager Iowa;../fake-data/blob/hipster.txt
