id;description;type_of_contract;contract_status;start_date;termination_date;comments_and_attachment;contract_title;contract_identifier;contract_identifier_short
1;wireless Internal Gloves;BUSINESS_PARTNER;TERMINATED;2023-03-21;2023-03-21;../fake-data/blob/hipster.txt;Bacon quantifying Chicken;91d198b0-8753-4e44-8fc3-7722331b2acb;FrancX
2;withdrawal Loop;STAFF;INACTIVE;2023-03-20;2023-03-21;../fake-data/blob/hipster.txt;Technician Light invoice;fdae138a-7b4b-478c-8373-acf3015815c1;Account
3;attitude client-driven support;SUPPLIER;TERMINATED;2023-03-20;2023-03-20;../fake-data/blob/hipster.txt;deposit overriding;70666b60-dd12-4c33-826a-ec406c691d41;Strategist Netherlands
4;Loan Tasty;STAFF;UNDER_RENEGOTIATION;2023-03-20;2023-03-21;../fake-data/blob/hipster.txt;Virginia payment;2d059b58-a6cc-43aa-b7d9-15cf8696fc1a;maroon Oklahoma Buckinghamshire
5;Practical distributed;SUPPLIER;TERMINATED;2023-03-20;2023-03-20;../fake-data/blob/hipster.txt;Granite copying;13027847-c4cd-4287-9076-53137d34d1b5;drive deliverables
6;Nevada deposit;SUPPLIER;ACTIVE;2023-03-21;2023-03-20;../fake-data/blob/hipster.txt;Cambridgeshire Fresh;eada144e-fdf3-4843-b107-cc333ba7cf84;whiteboard
7;Avon;STAFF;TERMINATED;2023-03-20;2023-03-20;../fake-data/blob/hipster.txt;Steel intranet;812a580c-e9fc-407f-86a3-4f54079d9599;auxiliary feed Tools
8;Fantastic Home disintermediate;BUSINESS_PARTNER;TERMINATED;2023-03-20;2023-03-20;../fake-data/blob/hipster.txt;invoice Toys Producer;547b9724-f144-4676-97d2-8fe456988b6e;redundant Plastic system
9;Oklahoma hacking programming;SUPPLIER;ACTIVE;2023-03-20;2023-03-20;../fake-data/blob/hipster.txt;Borders SQL Extensions;59260c0d-5e74-4e4a-9cf8-8487c772ca0c;Virginia Direct
10;Configuration Cambridgeshire THX;STAFF;INACTIVE;2023-03-20;2023-03-21;../fake-data/blob/hipster.txt;bluetooth Focused e-commerce;e5dcd0e7-c53d-4131-a934-e7fc3996efbd;hack Chips paradigms
