id;counterparty_category_code;counterparty_category_code_details;counterparty_category_description
1;Djibouti Bypass white;LOCAL;../fake-data/blob/hipster.txt
2;Salad Missouri;LOCAL;../fake-data/blob/hipster.txt
3;Montana;LOCAL;../fake-data/blob/hipster.txt
4;recontextualize Games Dakota;LOCAL;../fake-data/blob/hipster.txt
5;Metal;FOREIGN;../fake-data/blob/hipster.txt
6;infomediaries Program Unbranded;LOCAL;../fake-data/blob/hipster.txt
7;Peru Awesome;LOCAL;../fake-data/blob/hipster.txt
8;flexibility;FOREIGN;../fake-data/blob/hipster.txt
9;protocol parallelism National;FOREIGN;../fake-data/blob/hipster.txt
10;Forward Cambridgeshire Zealand;LOCAL;../fake-data/blob/hipster.txt
