id;counterparty_type_code;counter_party_type;counterparty_type_description
1;Granite Pennsylvania Fundamental;homogeneous protocol Beauty;../fake-data/blob/hipster.txt
2;Web;Rubber;../fake-data/blob/hipster.txt
3;ADP;Zambia;../fake-data/blob/hipster.txt
4;Future mobile Wisconsin;District SSL mint;../fake-data/blob/hipster.txt
5;optical Myanmar e-services;Vermont service-desk;../fake-data/blob/hipster.txt
6;Automotive Awesome;Market Tasty;../fake-data/blob/hipster.txt
7;lavender harness;Bahraini productize;../fake-data/blob/hipster.txt
8;Wyoming;Games Gateway;../fake-data/blob/hipster.txt
9;feed Tools silver;Ethiopian indexing empower;../fake-data/blob/hipster.txt
10;index IB;payment;../fake-data/blob/hipster.txt
