id;aging_band_category_code;aging_band_category;aging_band_category_details
1;port;Consultant Consultant;Handmade index
2;facilitate invoice;visualize circuit hacking;radical Michigan
3;Music;Accounts;generate Sausages reciprocal
4;Incredible;Christmas Metal Lakes;Comoros Rustic
5;Buckinghamshire robust orchid;Borders;Agent Small Rubber
6;Outdoors Tasty;port;Handcrafted cyan
7;Manors transmitting;yellow matrix action-items;bypass
8;Functionality;Dakota;Savings bluetooth
9;Wooden;plum Account;Riyal Fantastic
10;Palladium web;Gateway Card;generating
