id;institution_code;institution_name;institution_category
1;Hat Cambridgeshire tan;Principal eco-centric;Togo
2;Computers;California;firewall International
3;Dynamic deposit;deposit Summit;Personal
4;Concrete client-driven;Computer;EXE reboot Legacy
5;Implementation Awesome connecting;Down-sized Bedfordshire;B2B Tasty Coordinator
6;Beauty Checking Bahrain;extend Money olive;Optimized
7;moderator dynamic Lake;Sausages Gorgeous Cambridgeshire;Profit-focused models invoice
8;innovate;Fresh invoice Fantastic;Kids Loan
9;hack;Netherlands plum Programmable;bluetooth Executive
10;Berkshire Account Proactive;RAM;Account killer index
