id;nature_of_information_type_code;nature_of_information_type;nature_of_information_type_description
1;withdrawal Account;Kroon;../fake-data/blob/hipster.txt
2;Arkansas CFP;blue Unbranded;../fake-data/blob/hipster.txt
3;Chips project Bridge;sexy Grenadines;../fake-data/blob/hipster.txt
4;transmitting;Bedfordshire Mississippi bypassing;../fake-data/blob/hipster.txt
5;Indiana Green;Pre-emptive;../fake-data/blob/hipster.txt
6;Tasty line Solutions;Chair transmitter;../fake-data/blob/hipster.txt
7;back-end Senior;Cotton Markets;../fake-data/blob/hipster.txt
8;Home green Shirt;deposit;../fake-data/blob/hipster.txt
9;Consultant Palladium;Loan XML;../fake-data/blob/hipster.txt
10;online calculate Maryland;Chief yellow invoice;../fake-data/blob/hipster.txt
