id;report_view_code;report_view_category;report_view_category_description
1;Avon;Concrete models Bike;../fake-data/blob/hipster.txt
2;system;Solutions;../fake-data/blob/hipster.txt
3;bluetooth Bedfordshire calculate;Franc;../fake-data/blob/hipster.txt
4;functionalities Functionality;Human;../fake-data/blob/hipster.txt
5;Colorado;discrete;../fake-data/blob/hipster.txt
6;Outdoors Auto;COM interface client-server;../fake-data/blob/hipster.txt
7;1080p;Plastic firmware Stream;../fake-data/blob/hipster.txt
8;Account;bluetooth generate;../fake-data/blob/hipster.txt
9;Dominican;hacking Supervisor International;../fake-data/blob/hipster.txt
10;web-readiness;Sausages dot-com;../fake-data/blob/hipster.txt
