id;customer_type_code;customer_type;customer_type_description
1;Designer overriding;experiences array Customer;../fake-data/blob/hipster.txt
2;expedite;upward-trending;../fake-data/blob/hipster.txt
3;Incredible Fish Principal;scalable Card;../fake-data/blob/hipster.txt
4;vortals static TCP;user-facing;../fake-data/blob/hipster.txt
5;Executive Taka Cotton;Kazakhstan digital;../fake-data/blob/hipster.txt
6;exploit;architect;../fake-data/blob/hipster.txt
7;Electronics;invoice;../fake-data/blob/hipster.txt
8;white JBOD;Chair protocol Togo;../fake-data/blob/hipster.txt
9;Intelligent explicit Table;Mouse overriding Handmade;../fake-data/blob/hipster.txt
10;Plaza Forward Dollar;Planner Baby Compatible;../fake-data/blob/hipster.txt
