id;document_code;document_type;document_type_description
1;Fresh purple Legacy;Plaza;COM
2;Sleek;(Vatican;Alaska Vision-oriented Concrete
3;FTP online;Montana Forward;Rubber Wooden
4;withdrawal cross-media;B2B;Handcrafted
5;Infrastructure enterprise;Ports ADP Salad;user mobile Unbranded
6;Guadeloupe;wireless;Shirt
7;Hat;purple Grocery;Gloves transmit Generic
8;Integrated;Keyboard generate;Metrics algorithm
9;Thailand harness hacking;Refined 24 invoice;Pass invoice application
10;Cambridgeshire Web quantifying;bandwidth-monitored extensible Dinar;engineer
