id;department_type_code;department_type;department_type_details
1;24 tertiary Shilling;GB wireless Automotive;../fake-data/blob/hipster.txt
2;payment invoice;Keyboard client-driven;../fake-data/blob/hipster.txt
3;generate Avon;Planner Accountability;../fake-data/blob/hipster.txt
4;strategic ROI River;Sports;../fake-data/blob/hipster.txt
5;functionalities;Soft Franc;../fake-data/blob/hipster.txt
6;reinvent Human;Pizza;../fake-data/blob/hipster.txt
7;fault-tolerant Borders;innovate Cove;../fake-data/blob/hipster.txt
8;Steel uniform Upgradable;GB;../fake-data/blob/hipster.txt
9;Points Legacy;real-time Account;../fake-data/blob/hipster.txt
10;24/7 fault-tolerant Corporate;hub Gorgeous emulation;../fake-data/blob/hipster.txt
