id;start_index;end_index;depreciation_batch_status;depreciation_period_identifier;depreciation_job_identifier;fiscal_month_identifier;fiscal_quarter_identifier;batch_size;processed_items;sequence_number;is_last_batch;processing_time;total_items
1;98041;5053;RUNNING;369d5727-d68e-4fec-be23-c1ef968b6912;af4e584a-cafb-4318-86e6-b353c454e92f;ee756cbd-5935-4a0a-9cdd-8a417bf34583;99ccbb76-35ff-40d0-a582-83b3ea6c1538;29538;29828;65661;false;79682;90237
2;12909;47193;ERRORED;028ab28a-9f3b-4655-a039-87e5d6dcc853;9b4ec32b-c973-401b-91ce-d3bab2cfccca;12ec28c4-c904-4cfe-b473-363dbb21874e;e64ae8c0-a5cc-46cd-b295-191772d799fb;15731;69480;86419;false;45203;1464
3;17884;80910;ENQUEUED;a520bf70-2938-4bc2-a4a5-1e2bf4d0d6f9;b8fb5454-e6dd-4935-bfd9-2a998325dbca;e8c68812-98b7-4cf3-a687-29bd5063486f;33cc8ba3-baca-4afd-a6d2-c92058dd5d38;50636;21685;96560;true;96258;67736
4;29765;82159;CREATED;c106a5d9-8357-42fd-aea8-54dddcaa0fe3;3166e47e-badd-470e-8142-45526beca679;2b11d718-132d-43f8-b572-e31f454ac3fb;a02ed9cf-eba2-46b9-acf9-53409b5afa93;61233;12593;65750;true;94100;82637
5;20464;55177;ENQUEUED;51e1ff1d-6b10-4cdf-a04f-3f6cf3fab907;507a6a3a-cc78-4a3f-8cd3-395571cadd72;5fa5b54b-6285-4e8e-a6ee-9f34f8768891;78853609-2df6-49b1-9518-032d7c980937;82801;18310;89564;true;19710;6370
6;47917;70878;ENQUEUED;9355a29d-2c77-4915-8ac0-73cea0e4d304;68e91206-ff20-4ef0-9b6c-5e8ea7b8eb74;3ec62fe5-23ba-42bc-8b9a-5a15776ba3bc;0761547d-77c7-4419-8512-efea327c1528;63249;63778;83437;true;74662;76382
7;31077;96490;ERRORED;c8b56c5a-47d1-4625-9471-6fdb76ecaac4;36bc5cbe-6046-4027-af02-b60aff0c75d3;ab11abd5-5dfe-4ebe-8cae-46b7c5dd711e;4ccfd48a-be7e-4f8e-8e70-8cc5878f729a;76661;57645;39601;false;18180;41451
8;90800;54430;COMPLETED;83a41665-2dc1-479e-ba57-cc6f18f035cf;6251f8b0-0bb5-4f80-835a-dba13c07d605;cdc2dfb9-511d-461a-8122-1fc60db3cb3e;db4d2c3f-89a4-4d7e-bd70-5a302a2f2719;83735;49913;27811;true;73481;21442
9;66839;28201;COMPLETED;e4354a7d-a866-486c-85de-99b52d2e5311;c316ea9f-5d16-4ecb-979b-adc679119142;54f061a8-eada-4e49-9677-a819e38162b3;4a4014a7-63dc-40a2-98fa-1cce91ce3d1e;61595;97253;79513;true;87883;63577
10;23165;57292;ENQUEUED;b0fc687a-bd45-4235-b3ed-bd586a5e27b5;ab71d261-72fb-4a9f-9a75-d7499920acc0;e0f8ba58-d7b4-4609-b126-1b8ae93f6e4e;e10d12ef-c702-4685-a38a-e6f3bf4d018e;48431;97265;62988;false;90596;27122
