id;posted_at;depreciation_amount;asset_number;depreciation_period_identifier;depreciation_job_identifier;fiscal_month_identifier;fiscal_quarter_identifier;batch_sequence_number;processed_items;total_items_processed;elapsed_months;prior_months;useful_life_years;previous_nbv;net_book_value;depreciation_period_start_date;depreciation_period_end_date
1;2023-07-03T17:53:51;90841;87525;7b00eb8a-5a63-4a4b-a7a2-1a4d3f1b404a;36e10514-ca1e-43d3-aa4a-93bdf031e29f;41ad17fd-6ffc-44b2-b283-a99098c3180e;acdb9464-3b6e-44ed-a36e-6b3cf2dca5ed;81156;Refined;69494;66525;1416;95895;98691;34450;2023-07-04;2023-07-03
2;2023-07-04T04:19:56;14959;40537;7a382d01-1c97-4d21-bf48-f1385e8e06ea;99b4372e-70c4-4f4b-be5e-866f879760b7;a8400509-1cf8-4fc2-b819-8d1f6645f2e8;0dd93128-39be-409f-8b05-1fac2ca10d57;87920;recontextualize mindshare Agent;67130;6485;34126;74804;80234;37863;2023-07-03;2023-07-04
3;2023-07-04T14:35:41;74736;44552;c11895ba-529c-44c7-b8e6-bb869ec28594;a146602a-e651-4c00-a8d8-43937f0f4983;d8c183b1-215b-4658-b547-760b3f6df559;08415add-80bb-40cc-8be2-8299ab166399;71507;bus monetize Tools;36815;16556;58752;72516;6664;12175;2023-07-04;2023-07-04
4;2023-07-03T23:57:49;447;57780;009555ae-40d5-4900-9e8b-915c765d4096;d2e23b1a-d5b8-4e1b-9b98-5ba23342f568;caa199ea-caf9-49ff-a75f-d543f64077f2;8a9e85db-024b-46bf-a7c6-5396d5422a61;58529;Salad;74890;35936;81554;961;5449;97343;2023-07-04;2023-07-04
5;2023-07-04T12:34:29;18248;917;ea1c24cc-984a-4a1f-86ad-7bc5b789ada2;2019bc78-4629-463e-b528-7777d6f55a47;4139cb0a-26f6-4bd3-ba6e-5720be3de5a7;17878827-3026-4fa8-9824-222259b5ac02;83681;enable;41985;8357;68336;34897;87699;7605;2023-07-04;2023-07-04
6;2023-07-03T19:16:14;26268;75249;e977f4ed-3b6b-4438-bf0e-3087d4ce29c8;1c3bb102-81b6-4c7e-b5de-12e7e8bca725;c7a80beb-9bb1-47e2-9f6f-0489f2605950;b1de52e5-949b-43af-9bfd-58e9d70d2075;22308;HTTP non-volatile Concrete;72607;13849;11003;98039;16442;44818;2023-07-04;2023-07-03
7;2023-07-04T03:09:07;63731;74369;f7e96bb9-c79f-4d2c-8db8-8221854de5ef;c1a7c411-3912-41e2-89de-b600a266707c;30478695-dd0a-49cb-9ebe-1b0365b8829a;24012c0f-943d-4c06-8595-c903211c126e;20078;withdrawal local;15819;95023;92082;77350;52488;21363;2023-07-04;2023-07-03
8;2023-07-03T22:57:07;97282;34809;3dc8c47d-cd96-4ed8-8c48-499cfb41be39;e064c20a-3eec-4736-af2e-be75748d6893;c2902102-85bd-4ca5-a732-1ba0c148e90e;87ebf533-6227-4cfd-a850-ac69035b129e;13867;Handmade Program;88614;18836;40644;12520;35475;9290;2023-07-03;2023-07-04
9;2023-07-04T01:57:35;11297;37196;8217677e-0a4a-4e24-bae4-205352e9d528;e6a593ff-c190-445c-be87-882a14c1041c;ff5dbc43-3294-4f6e-be6c-f6d25e5b8240;0f8efcd1-8836-4142-9fb6-0434debacc2a;11674;Buckinghamshire;2681;6012;81218;78496;16817;85348;2023-07-04;2023-07-04
10;2023-07-03T22:31:52;10674;23557;4586a781-89d8-48f1-a50b-cf1337788872;22f9afb5-b770-4c82-8a9e-f1a7b150775b;2bf527bd-cc5a-456a-9e05-00e5c5632a4c;30fd85e3-11f5-4549-b66e-28dc0e3ceffd;1484;network Berkshire hack;71531;78146;38162;57761;96227;17941;2023-07-04;2023-07-04
