id;asset_registration_details;posted_at;asset_number;service_outlet;asset_category;depreciation_method;depreciation_period;fiscal_month_code;asset_registration_cost;depreciation_amount
1;Omani Avon synergies;deposit;52345;Hat networks;Granite;SQL;IB open-source;Music Division Jersey;8341;179
2;Rupee Station infomediaries;Roads;28588;Wyoming Steel clicks-and-mortar;Trail parsing Savings;copying Naira;purple invoice grid-enabled;Central vortals Tanzania;54471;38903
3;open-source;transmitter orchid;41838;Keyboard Colorado Internal;Krone Virtual;portals generation;framework HDD Orchestrator;Global;68872;67192
4;Licensed;IB neural navigating;40222;Fish;Optimization to;schemas;intuitive Auto SMS;Ball navigating;48717;48039
5;Global turquoise;Shoes bandwidth;24485;Down-sized payment;lavender;e-services emulation;connect;deposit Avon;80224;88749
6;Beauty Ball;compressing Handmade impactful;81940;Pataca;Personal;Chicken Fish;Sleek Generic models;synthesize;53464;1623
7;Orchestrator transmitter deposit;Beauty Wooden cross-media;41368;extranet JBOD;Account Future;Bedfordshire Renminbi Strategist;Alaska;transmitting;95718;74952
8;program;Communications;85443;ADP HTTP Keyboard;cutting-edge compress;Handcrafted;input Buckinghamshire deposit;Generic;58361;45735
9;Bike;Shoes synergies;66323;B2C Global;Organic Viaduct Avon;orange program;Maine;Rubber Steel auxiliary;70455;5234
10;compress;ability card high-level;22246;deliver Indiana Savings;Internal Wooden;matrix;copying;Shirt Configuration Checking;58324;28560
