id;director_category_type_code;director_category_type;director_category_type_details
1;India modular blue;Village Quality;../fake-data/blob/hipster.txt
2;AGP Metal Communications;magenta;../fake-data/blob/hipster.txt
3;online;Buckinghamshire;../fake-data/blob/hipster.txt
4;Kuwaiti Central azure;proactive;../fake-data/blob/hipster.txt
5;Common;scale Beauty intermediate;../fake-data/blob/hipster.txt
6;Tennessee Table streamline;circuit programming Executive;../fake-data/blob/hipster.txt
7;cross-platform;enhance hacking;../fake-data/blob/hipster.txt
8;Internal Communications visionary;Regional;../fake-data/blob/hipster.txt
9;demand-driven Toys;Producer interfaces;../fake-data/blob/hipster.txt
10;transform;Gambia optical maximize;../fake-data/blob/hipster.txt
