id;file_type_name;file_medium_type;description;file_template;file_template_content_type;file_type
1;Indiana transmit;EXCEL_XLS;Quetzal;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
2;Delaware application;EXCEL;COM CSS;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
3;Health dedicated Orchestrator;EXCEL_XML;Health Administrator Toys;../fake-data/blob/hipster.png;image/png;PAYMENT_CATEGORY
4;initiatives Agent Accounts;EXCEL_XML;user-centric Steel Investment;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
5;protocol De-engineered;POWERPOINT;Generic;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_ACQUISITION
6;zero Identity turn-key;DOC;TCP interfaces;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
7;Ridges expedite Chief;EXCEL_XLSX;Clothing grid-enabled Designer;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
8;Polarised;EXCEL_XML;intuitive project Plastic;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
9;Analyst ability;EXCEL_XLSX;Rand Tactics niches;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_ACQUISITION
10;instruction Australia Metal;EXCEL;Home District;../fake-data/blob/hipster.png;image/png;PAYMENT_CATEGORY
