id;month_number;start_date;end_date;fiscal_month_code;fiscal_year_id
1;40740;2023-08-15;2023-08-16;unleash;1
2;71539;2023-08-15;2023-08-15;Open-architected Leu;2
3;29227;2023-08-16;2023-08-16;Bedfordshire;3
4;63617;2023-08-15;2023-08-15;XSS Pants auxiliary;4
5;66504;2023-08-16;2023-08-16;Florida Views empowering;5
6;84414;2023-08-16;2023-08-16;Response;6
7;90751;2023-08-15;2023-08-16;Avon relationships;7
8;21254;2023-08-15;2023-08-15;Estate;8
9;48290;2023-08-15;2023-08-16;Graphic Web;9
10;2518;2023-08-15;2023-08-15;application Rustic withdrawal;10
