id;quarter_number;start_date;end_date;fiscal_quarter_code;fiscal_year_id
1;57974;2023-08-15;2023-08-16;FTP;1
2;10228;2023-08-16;2023-08-16;Intelligent;2
3;1012;2023-08-15;2023-08-16;Granite exuding;3
4;88509;2023-08-16;2023-08-15;Hat bluetooth schemas;4
5;67493;2023-08-16;2023-08-16;Money Investment Consultant;5
6;62470;2023-08-16;2023-08-15;Cotton;6
7;37223;2023-08-16;2023-08-15;Bacon;7
8;50849;2023-08-15;2023-08-15;Alaska;8
9;37321;2023-08-15;2023-08-15;Practical Associate Granite;9
10;40051;2023-08-15;2023-08-16;Internal panel Factors;10
