id;fiscal_year_code;start_date;end_date;fiscal_year_status
1;Sausages leading;2023-08-16;2023-08-16;OPEN
2;programming;2023-08-16;2023-08-16;CLOSED
3;engage;2023-08-15;2023-08-15;CLOSED
4;Berkshire XML;2023-08-16;2023-08-15;CLOSED
5;payment out-of-the-box;2023-08-15;2023-08-16;OPEN
6;exploit optical;2023-08-16;2023-08-15;CLOSED
7;pixel green;2023-08-16;2023-08-16;CLOSED
8;monitor;2023-08-15;2023-08-15;CLOSED
9;stable Liaison;2023-08-16;2023-08-15;CLOSED
10;Account invoice plum;2023-08-16;2023-08-16;OPEN
