id;fx_rate_code;fx_rate_type;fx_rate_details
1;Soft generation solid;up input Technician;../fake-data/blob/hipster.txt
2;Forward tan Afghanistan;Berkshire system Alaska;../fake-data/blob/hipster.txt
3;Coordinator JSON Ergonomic;North;../fake-data/blob/hipster.txt
4;connecting Iceland Rustic;Cloned;../fake-data/blob/hipster.txt
5;Credit Hat;red Dynamic Investor;../fake-data/blob/hipster.txt
6;neural;Fantastic monetize black;../fake-data/blob/hipster.txt
7;transition;SMTP;../fake-data/blob/hipster.txt
8;Wyoming knowledge;paradigms;../fake-data/blob/hipster.txt
9;Metal Division SQL;Metal Ohio Light;../fake-data/blob/hipster.txt
10;Frozen Norway Gloves;Borders white supply-chains;../fake-data/blob/hipster.txt
