id;fx_transaction_rate_type_code;fx_transaction_rate_type;fx_transaction_rate_type_details
1;application 1080p withdrawal;Savings override;../fake-data/blob/hipster.txt
2;Grocery dot-com;payment Accounts projection;../fake-data/blob/hipster.txt
3;neural;Applications National;../fake-data/blob/hipster.txt
4;Bedfordshire productize;withdrawal;../fake-data/blob/hipster.txt
5;Concrete Senior Incredible;Vermont;../fake-data/blob/hipster.txt
6;Brazil interface Home;Investor;../fake-data/blob/hipster.txt
7;Cambridgeshire Directives heuristic;Product Chips;../fake-data/blob/hipster.txt
8;feed morph Myanmar;auxiliary wireless gold;../fake-data/blob/hipster.txt
9;Borders;Rubber Mexico;../fake-data/blob/hipster.txt
10;superstructure;green indigo Forward;../fake-data/blob/hipster.txt
