id;fx_transaction_type_code;fx_transaction_type;fx_transaction_type_description
1;Integration open-source Central;Home Corporate;../fake-data/blob/hipster.txt
2;green Awesome;proactive;../fake-data/blob/hipster.txt
3;Tala Account target;Rupee;../fake-data/blob/hipster.txt
4;Lead Island fault-tolerant;Horizontal Italy;../fake-data/blob/hipster.txt
5;infomediaries real-time;grey;../fake-data/blob/hipster.txt
6;Niger;Refined Communications;../fake-data/blob/hipster.txt
7;Singapore;benchmark;../fake-data/blob/hipster.txt
8;Intuitive Plastic;Creek;../fake-data/blob/hipster.txt
9;Czech Computer;transform reciprocal Outdoors;../fake-data/blob/hipster.txt
10;Washington;virtual;../fake-data/blob/hipster.txt
