id;entity_name;database_name;business_description;data_path
1;Concrete;fresh-thinking back-end;../fake-data/blob/hipster.txt;Gloves
2;Granite;Networked revolutionary static;../fake-data/blob/hipster.txt;Islands, Mandatory
3;Rustic Table;Grass-roots;../fake-data/blob/hipster.txt;Assimilated alarm
4;intermediate;Georgia;../fake-data/blob/hipster.txt;out-of-the-box
5;Plastic Practical;Avon;../fake-data/blob/hipster.txt;calculating Money
6;harness;Principal yellow Wall;../fake-data/blob/hipster.txt;redundant
7;indigo;relationships;../fake-data/blob/hipster.txt;mobile
8;withdrawal Virtual bluetooth;Markets Palladium;../fake-data/blob/hipster.txt;Up-sized
9;Versatile Refined even-keeled;card;../fake-data/blob/hipster.txt;generation Dynamic Sudan
10;Borders Table Borders;Senior Taiwan;../fake-data/blob/hipster.txt;morph payment
