id;dataset_name;database_name;update_frequency;dataset_behavior;minimum_data_rows_per_request;maximum_data_rows_per_request;dataset_description;data_path
1;Ranch Garden;Nebraska plum PCI;WEEKLY;INSERT;84112;20064;../fake-data/blob/hipster.txt;implement
2;Internal Bedfordshire;Borders deliver;DAILY;INSERT_AND_UPDATE;47633;58458;../fake-data/blob/hipster.txt;quantify withdrawal
3;Tuvalu Serbia Manager;Clothing connecting card;INTRA_DAY;INSERT;31244;19034;../fake-data/blob/hipster.txt;Steel Sleek
4;dot-com Buckinghamshire back;instruction;DAILY;INSERT;14894;96306;../fake-data/blob/hipster.txt;throughput override
5;Research GB;Shoes Human Corporate;SEMI_ANNUAL;INSERT;65693;52570;../fake-data/blob/hipster.txt;leverage pixel
6;Metal International;transmitter;SEMI_ANNUAL;INSERT;51724;50165;../fake-data/blob/hipster.txt;redundant Motorway Card
7;Sleek payment redundant;PCI bandwidth-monitored input;MONTHLY;INSERT;14522;2217;../fake-data/blob/hipster.txt;Avenue reintermediate
8;Delaware Cambridgeshire bandwidth;Hawaii Bike;OTHER;INSERT_AND_UPDATE;42479;23332;../fake-data/blob/hipster.txt;Wall Persistent Account
9;Avon panel;withdrawal;SEMI_ANNUAL;INSERT_AND_UPDATE;55614;15682;../fake-data/blob/hipster.txt;York Fish
10;Dollar;generate;WEEKLY;INSERT;80872;6930;../fake-data/blob/hipster.txt;haptic Designer Ergonomic
