id;institution_code;institution_name;short_name;category;institution_category;institution_ownership;date_licensed;institution_status
1;innovative UIC-Franc;ADP Cotton;intuitive;Trace Organized calculate;transform;Facilitator Cambridgeshire;2022-04-05;navigate bypassing Cheese
2;Manager Multi-layered;wireless South Metal;incentivize Tuna Buckinghamshire;Specialist;Mews;auxiliary hard Principal;2022-04-05;Concrete XSS intranet
3;compressing;didactic user-facing;Steel secondary real-time;silver;SDD Toys;radical card;2022-04-06;cross-platform cross-platform Soft
4;Rican Account synergistic;bi-directional red;Chips robust Representative;Pizza deposit Shoes;orange innovate Cotton;Hat RAM;2022-04-05;frictionless Dakota
5;Carolina users;Hawaii Ball Program;Engineer;mission-critical synthesize;Garden HDD Underpass;bandwidth Field Nicaragua;2022-04-06;Architect Program
6;Cambridgeshire Colorado connect;USB Investment;Soap Intelligent mobile;Wooden;throughput;IB Dollar;2022-04-06;invoice
7;withdrawal;flexibility superstructure Denmark;program Metrics disintermediate;Tasty;IB Track Customer;Down-sized;2022-04-06;Salad Virginia
8;Games extend;Pre-emptive;Fresh;Garden bluetooth;incentivize data-warehouse primary;dot-com;2022-04-05;Incredible RSS
9;Shores;Plastic;Drive Plastic;Chair Account Creative;hacking Baby Hat;Grocery Money;2022-04-05;well-modulated
10;Optimization Steel;Loan copy;unleash distributed Sharable;gold COM;payment;vertical Caledonia;2022-04-05;Technician Card parsing
