id;institution_status_code;institution_status_type;insitution_status_type_description
1;online;Personal bleeding-edge;../fake-data/blob/hipster.txt
2;Regional quantifying;needs-based Future Fresh;../fake-data/blob/hipster.txt
3;Ball;Small compress;../fake-data/blob/hipster.txt
4;up Proactive Fish;Berkshire Mandatory magnetic;../fake-data/blob/hipster.txt
5;up Plastic;Alabama;../fake-data/blob/hipster.txt
6;deposit implement;Concrete Granite;../fake-data/blob/hipster.txt
7;JBOD Account;Shirt Street Loan;../fake-data/blob/hipster.txt
8;connect Optimization benchmark;structure Refined;../fake-data/blob/hipster.txt
9;action-items one-to-one Tuna;Buckinghamshire digital AGP;../fake-data/blob/hipster.txt
10;Steel;Borders unleash Soft;../fake-data/blob/hipster.txt
