id;interbank_sector_code;interbank_sector_code_description
1;ADP Small Park;../fake-data/blob/hipster.txt
2;program withdrawal;../fake-data/blob/hipster.txt
3;navigating Shoes;../fake-data/blob/hipster.txt
4;reboot violet;../fake-data/blob/hipster.txt
5;Intranet;../fake-data/blob/hipster.txt
6;infomediaries;../fake-data/blob/hipster.txt
7;auxiliary Customizable Highway;../fake-data/blob/hipster.txt
8;Chief multi-tasking networks;../fake-data/blob/hipster.txt
9;neural Exclusive Saint;../fake-data/blob/hipster.txt
10;indexing;../fake-data/blob/hipster.txt
