id;sequence_number;opening_balance;cash_payment;principal_payment;interest_payment;outstanding_balance;interest_payable_opening;interest_accrued;interest_payable_closing;lease_contract_id
1;87073;66313;7184;58869;19785;95127;67241;47213;36404;1
2;36907;12365;55457;2080;43831;65842;54916;99694;28591;2
3;4934;66881;24073;44903;20691;52662;71807;32061;56877;3
4;36053;6326;45480;44027;55308;68811;4327;51314;40955;4
5;65679;5461;48776;97059;72677;77365;77703;18088;39973;5
6;22886;45922;79638;97709;91761;39848;60915;50635;16268;6
7;81587;36607;58403;17338;7925;79257;36259;22941;73033;7
8;44883;90109;15523;70370;24855;15109;39420;94135;1876;8
9;50083;69922;31637;98640;17097;68341;81944;72019;98477;9
10;64137;63850;17605;76073;97679;24994;90433;10649;96934;10
