id;loan_application_status_type_code;loan_application_status_type;loan_application_status_details
1;Solomon;purple monitor Borders;../fake-data/blob/hipster.txt
2;Down-sized Ringgit;models mission-critical Glens;../fake-data/blob/hipster.txt
3;Metal partnerships;Human;../fake-data/blob/hipster.txt
4;e-tailers impactful;connect Harbors;../fake-data/blob/hipster.txt
5;orchestration indexing;Account;../fake-data/blob/hipster.txt
6;Fantastic Wisconsin Books;Group Account;../fake-data/blob/hipster.txt
7;primary;microchip input copy;../fake-data/blob/hipster.txt
8;lavender Dominican;Marketing Route Guernsey;../fake-data/blob/hipster.txt
9;override Car;Sausages Programmable;../fake-data/blob/hipster.txt
10;Grove e-markets;Music Bahamas;../fake-data/blob/hipster.txt
