id;loan_application_type_code;loan_application_type;loan_application_details
1;Argentine Islands Investment;PNG Maryland Baby;../fake-data/blob/hipster.txt
2;attitude Berkshire Strategist;human-resource;../fake-data/blob/hipster.txt
3;Clothing transmitting;back Cambridgeshire;../fake-data/blob/hipster.txt
4;Shilling Alabama;transitional;../fake-data/blob/hipster.txt
5;Grove infomediaries quantify;strategize;../fake-data/blob/hipster.txt
6;mission-critical Myanmar;Avon;../fake-data/blob/hipster.txt
7;Lead optical;EXE Branding;../fake-data/blob/hipster.txt
8;bluetooth;Account revolutionize;../fake-data/blob/hipster.txt
9;fuchsia Grass-roots EXE;red Pants;../fake-data/blob/hipster.txt
10;bandwidth Zimbabwe alarm;Manager portals;../fake-data/blob/hipster.txt
