id;loan_performance_classification_code;loan_performance_classification_type;commercial_bank_description;microfinance_description
1;Rustic Implementation;neural moderator;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;Taiwan;Kansas calculating Re-engineered;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;District users Berkshire;Washington;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Cloned Berkshire;Marketing Colombian sensor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;drive deposit visualize;bandwidth;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;function Networked;Kuwait engineer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;Account Inlet Officer;Bedfordshire program monitor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;generating fault-tolerant;COM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;Games Computer;Integration parsing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;auxiliary fuchsia;Baby Dynamic Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
