id;nature_of_complaint_type_code;nature_of_complaint_type;nature_of_complaint_type_details
1;analyzing;Virginia Outdoors;../fake-data/blob/hipster.txt
2;Refined Buckinghamshire;Applications virtual Digitized;../fake-data/blob/hipster.txt
3;Grocery Granite Usability;card;../fake-data/blob/hipster.txt
4;migration ROI Avon;Re-engineered;../fake-data/blob/hipster.txt
5;IB;multimedia;../fake-data/blob/hipster.txt
6;Concrete Track;Forward Baht Brand;../fake-data/blob/hipster.txt
7;Loan Puerto alliance;Checking Account compress;../fake-data/blob/hipster.txt
8;e-business Generic one-to-one;input;../fake-data/blob/hipster.txt
9;red;Implementation Denar Tugrik;../fake-data/blob/hipster.txt
10;reciprocal;XML;../fake-data/blob/hipster.txt
