id;start_index;end_index;compilation_batch_status;compilation_batch_identifier;compilation_jobidentifier;depreciation_period_identifier;fiscal_month_identifier;batch_size;processed_items;sequence_number;is_last_batch;processing_time;total_items
1;93534;13919;CREATED;78fbcdb0-8850-4830-a048-1f5ff4a64f42;de4ee721-d91f-450b-9e91-816e76c0fad9;5c1732c5-2c2f-42fa-8079-558589edf714;13351911-d6dc-4c97-bc76-bc226865c35d;95534;63505;71966;true;33640;20970
2;2218;3735;ERRORED;c62c5ea2-e832-48e0-85ff-969691918ff8;cf4c7453-025c-4d3a-952e-aa57e7257900;059835b8-7120-4ef4-b9fc-62d880f676ac;1e5939e9-9246-464a-8dee-8a9be2076639;15097;58885;70632;true;15470;63039
3;77730;16178;INTERRUPTED;6bab6373-fb1b-4fb1-850e-6d54f361d7b9;281ca567-0169-4c29-8883-1276434d82be;3e60c895-0a4f-44a7-8823-e3966e1efc74;b404c5c3-919c-43e7-a8a9-8f406e30b985;89189;30376;89955;false;45853;85917
4;31469;2877;ERRORED;e708b37f-9641-4ea9-aa71-1ae0f0758e3b;23988f4d-d57b-4e87-b2e8-0b0dfec4da05;2e1544e8-5f4f-421e-ba00-14b1ea63f763;0e5fd76f-788a-47c9-b17e-871dc3457962;34335;29064;43671;false;46657;4607
5;3274;77669;RUNNING;a2a22990-566c-4cb8-8c5c-c7466ece855f;e4bea801-4c7e-45cb-98c0-0602fa485b3b;9d791a5e-02a8-4628-be07-926b83dc73b9;0d2d8cdc-624e-4e78-827a-3d4e25a7aff2;55142;63529;91907;false;25554;34519
6;84894;82782;INTERRUPTED;236392e8-38ae-4b75-9587-c2dff4a4a619;f54c8535-290d-4537-8460-1f0d6352b20c;d8f091fa-51b2-44be-9660-0a8f6587f84e;c9b80b18-1f4b-4258-b7f6-0affe209a06e;61757;1652;36887;false;87514;2832
7;12152;84244;RUNNING;67555547-cda9-4169-85f1-632c980a8e04;259d9be8-e31e-48b4-8df4-06a54ccf3186;a27d70bf-470e-40bd-b9cb-76021647fd4c;95fab160-da46-4132-bf30-afc248f04679;34229;24899;40270;true;60951;55326
8;46602;50404;COMPLETED;441877dc-9676-40cd-a7f6-c0ae114a74fa;1bc0ee60-97ad-4c72-83c3-993152dc6405;e4250c2f-47ab-4ccd-bae9-aab7588de74f;91eea71a-844a-4cc2-92ef-c7ead3d226e5;88786;35173;97563;true;49082;67282
9;70385;23981;CREATED;7e4877f3-b1db-42ad-a82d-54803c9d7ec9;f693de4f-773c-4959-af63-5751d32c057c;5c033332-5db6-4333-a7fd-631ac52f9a02;463280e3-298d-4ece-9609-690146916c1a;19622;84791;29317;true;22907;63641
10;45603;52680;CREATED;d3391d5c-8da2-4885-b423-f642b50913de;6cb86403-a7db-4bc3-bd66-229d6a723bc9;879e6187-a827-41ea-bfde-5b6a9479f033;3e03f4cd-7bfa-42e9-8efe-b67e633adc52;52894;37487;86438;true;58051;70875
