id;compilation_job_identifier;compilation_job_time_of_request;entities_affected;compilation_status;job_title;number_of_batches;number_of_processed_batches;processing_time
1;def264ad-a865-471b-af35-de7257e4238c;2024-02-18T17:55:27;13138;STARTED;Corporate Markets Strategist;97621;47154;60144
2;076045a0-dc59-48e4-b9e5-ccc469ea0146;2024-02-19T03:09:51;6574;DEPLOYED;Global Factors Developer;58659;95825;66630
3;54c5b8a3-1a73-470e-887e-9adf86e1c94e;2024-02-18T20:02:05;9245;STARTED;Legacy Tactics Developer;83438;68613;71153
4;3d7e00c3-e804-4c96-b713-54e807df5923;2024-02-19T06:02:21;59346;ERRORED;Regional Optimization Engineer;31683;22781;34596
5;c8cd7c97-e384-43d8-8fb3-ae99525ce7b0;2024-02-18T20:21:28;21019;RUNNING;Human Functionality Orchestrator;36366;59368;2279
6;4a3f2bca-58cf-414d-8ec2-e8601957efb8;2024-02-18T20:28:55;13160;RUNNING;Central Operations Developer;44908;15476;60210
7;1ada4836-6c75-46a9-b6b4-281eeeb0248a;2024-02-18T16:37:58;25171;ERRORED;Customer Creative Manager;74903;45328;36757
8;ebb67276-b6cd-49a0-ae0b-05221b467efb;2024-02-18T17:57:27;96508;ENQUEUED;Legacy Assurance Specialist;39848;3973;54514
9;4ac931e6-09df-4722-9b59-ef3a82cd05c9;2024-02-18T19:23:45;30201;ERRORED;Dynamic Interactions Facilitator;5642;60335;63436
10;b404d4c4-fedc-4822-9343-2a48073f41b3;2024-02-19T00:45:48;57065;DEPLOYED;Principal Solutions Designer;22816;84332;18803
