id;asset_number;asset_tag;asset_description;nbv_identifier;compilation_job_identifier;compilation_batch_identifier;elapsed_months;prior_months;useful_life_years;net_book_value_amount;previous_net_book_value_amount;historical_cost
1;AGP Operations Functionality;Producer;reboot parallelism;baf68551-9158-4232-ba46-793df9e44ed5;704137c9-c385-46fd-b36c-c247ba87b9e3;b92ff184-eec6-428c-891b-dc2f5cc4b03d;95879;38184;96718;87064;33207;14667
2;teal;Ridge Enhanced;Object-based;9190fdb2-cf21-43c9-a09d-73588771b8f4;15191ca2-53cb-494c-aad8-eb9ce57806d5;6b5392b6-acad-4f6e-8ffc-1c821db485e5;80082;70648;64891;14869;708;21226
3;synthesize;Principal deposit;Investor bleeding-edge;4a31b6d0-fc29-4fef-b69c-6d8f9e96e66a;f7761451-d031-43d5-9610-df46c9c32d55;1a530acf-32e1-4f8d-b204-24ff13235da1;65676;3107;31693;90736;31727;79161
4;bricks-and-clicks Granite;Ball cutting-edge;Indiana Checking;79fd03f6-c638-4fda-a7a0-29c94259d6f7;465b5817-c626-4c22-84c6-98c41d505ce1;d2edf885-7468-4e5c-9c41-2cfbd94448dc;98256;54376;65173;34357;78629;8600
5;Operations Metal;Multi-layered;Islands invoice Guernsey;cfd083c7-8122-443a-8adb-ab9178ce1338;30f836e2-2e0c-45dc-a216-d566d6cfd52c;0c49cb00-8718-4d59-84a6-6da5ee9c58f8;33288;80186;90156;83098;51780;34163
6;Card Dollar;Darussalam navigate face;Keyboard XSS feed;ebfd2102-e91d-48c2-8c34-0f1bd68ce63e;57b05821-d103-4f3c-a239-279c7492d77e;fc719e99-f4c3-4e3f-8ce4-5e31f0174e8c;74953;30090;55661;36441;2769;1594
7;bypass Factors;primary yellow;neural workforce;6a67a06e-56fa-4bf5-9848-9c5fe51c87be;631ab6f6-4a50-4d85-908c-8d4342c90511;d2d50e3b-5ce1-416f-a8fc-3a8d5867ea4e;14384;19644;30758;32098;67261;17106
8;Checking Prairie;initiative CSS;leverage;95e88656-b95d-4673-a2d1-8b0ad28359e8;e6a82841-c672-4f1e-867b-47652cc5df07;7ada0795-7a35-4d4b-b9a6-8ea88b0d324c;89446;88968;51719;26682;71453;126
9;grey;cross-platform reboot;Customizable;322c493d-bace-41c0-84f4-85de32b4a6e1;ad1af4df-5b0d-4709-98da-b3b4fab99259;b1921f02-2095-43b0-ba92-222cb43eccb0;76725;18770;73743;46593;15620;98746
10;quantifying Pitcairn;bypassing Granite Wooden;firewall;40bc2843-9f13-4ff2-ace9-290e38cf12c7;62030b91-31be-4248-bc70-55fbfd18b448;7862cb8b-0b0c-4d7f-a632-32d0c8a70ed6;83021;35337;64438;68535;94149;34734
