id;outlet_type_code;outlet_type;outlet_type_details
1;Administrator firewall Frozen;Music;New Granite Cross-group
2;Buckinghamshire gold Avon;Unbranded Sports;reboot emulation Wooden
3;synthesizing;Handmade;Dynamic withdrawal
4;Iraqi Croatian Versatile;withdrawal e-markets Graphical;Chicken
5;deliverables alarm;Cheese XSS;hierarchy blue
6;Pound Developer;Ergonomic;Checking
7;Kina Electronics Robust;and Ergonomic Direct;virtual Industrial
8;bandwidth Automotive Senior;Timor-Leste Intranet;Arizona Virginia Taka
9;deliver;virtual Steel;plug-and-play Monitored
10;Home Upgradable Cotton;Madagascar Applications;mobile
