id;business_reporting_date;outlet_name;town;iso_6709_latitute;iso_6709_longitude;cbk_approval_date;outlet_opening_date;outlet_closure_date;license_fee_payable;sub_county_code_id;bank_code_id;outlet_id_id;type_of_outlet_id;outlet_status_id
1;2023-10-03;Fantastic collaborative Bacon;radical;3468;32672;2023-10-03;2023-10-03;2023-10-03;55377;1;1;1;1;1
2;2023-10-04;Clothing;withdrawal;56513;50339;2023-10-04;2023-10-04;2023-10-03;10447;2;2;2;2;2
3;2023-10-04;non-volatile Steel generating;green visionary;68468;66618;2023-10-03;2023-10-03;2023-10-04;8048;3;3;3;3;3
4;2023-10-04;Borders feed;Computers Chicken Towels;36132;25576;2023-10-03;2023-10-03;2023-10-03;96090;4;4;4;4;4
5;2023-10-04;FTP haptic;Rustic Soft Corporate;421;35321;2023-10-04;2023-10-04;2023-10-03;73001;5;5;5;5;5
6;2023-10-03;haptic;Investor Books Wooden;59358;71450;2023-10-03;2023-10-03;2023-10-03;42531;6;6;6;6;6
7;2023-10-03;Cliff enhance Chicken;Finland interactive;23725;68947;2023-10-03;2023-10-03;2023-10-04;42167;7;7;7;7;7
8;2023-10-04;Leone Home;Soft Dinar;33598;49834;2023-10-03;2023-10-03;2023-10-03;92956;8;8;8;8;8
9;2023-10-03;Awesome compressing;Configuration revolutionize support;32937;69906;2023-10-03;2023-10-03;2023-10-03;64648;9;9;9;9;9
10;2023-10-03;Object-based Pataca;generating granular Row;84970;74585;2023-10-03;2023-10-03;2023-10-03;91008;10;10;10;10;10
