id;payment_number;payment_date;invoiced_amount;payment_amount;description;settlement_currency;calculation_file;calculation_file_content_type;dealer_name;file_upload_token;compilation_token
1;Soap killer;2021-06-27;79884;53272;Polarised;GBP;../fake-data/blob/hipster.png;image/png;Wooden;wireless Buckinghamshire;Tools implementation product
2;matrix;2021-06-26;606;95448;digital Incredible Wooden;USD;../fake-data/blob/hipster.png;image/png;framework;payment;Berkshire
3;Pre-emptive transmit Multi-channelled;2021-06-27;5290;25313;Dominican target Accountability;CHF;../fake-data/blob/hipster.png;image/png;demand-driven Dynamic viral;Interactions;Usability indigo
4;fuchsia Guilder Nuevo;2021-06-26;16005;42850;Rubber;EUR;../fake-data/blob/hipster.png;image/png;Kentucky Awesome;Assistant Fish New;Illinois and
5;connecting;2021-06-26;57369;94232;Lari protocol transmit;UGX;../fake-data/blob/hipster.png;image/png;target multi-state supply-chains;discrete transmit Chair;Intelligent alarm synthesize
6;methodology silver;2021-06-26;16722;7653;Utah Strategist;JPY;../fake-data/blob/hipster.png;image/png;program Market;USB Senior;program
7;Dollar South Handcrafted;2021-06-27;17927;59282;stable reintermediate deposit;CAD;../fake-data/blob/hipster.png;image/png;Manager;Loan Sleek Dalasi;online
8;azure;2021-06-27;62898;15979;bluetooth Borders Mount;JPY;../fake-data/blob/hipster.png;image/png;impactful;end-to-end;Soft Concrete circuit
9;Gloves Polarised client-driven;2021-06-26;81731;42335;engineer transmitting Rue;CAD;../fake-data/blob/hipster.png;image/png;compress Tactics Multi-lateral;Specialist;hybrid
10;auxiliary empowering;2021-06-27;384;64019;Berkshire;INR;../fake-data/blob/hipster.png;image/png;maximize Orchestrator Account;connect;Assimilated rich
