id;payment_expense;withholding_vat;withholding_tax;payment_amount;file_upload_token;compilation_token
1;28561;80589;12729;44277;matrix;Rustic Soap Kuna
2;151;14454;74725;42775;Rubber policy Shoes;Handmade
3;88076;72477;97957;60367;Bahamian;compress
4;22103;91668;86689;9383;Zambia calculate indexing;moderator
5;84167;53336;78449;46706;Bahamas Cambridgeshire;Buckinghamshire
6;80937;57307;10016;71648;Shoes;Rubber Computer
7;93124;32860;22353;44213;Handmade Lilangeni;Sleek connecting
8;52471;93435;92840;91903;Creative Bedfordshire;Franc deposit Books
9;21004;36491;58390;9233;Account iterate;drive Nebraska
10;97789;39534;88805;69858;Solomon Robust;Unbranded invoice Upgradable
