id;time_of_request;compilation_status;items_processed;compilation_token
1;2023-11-21T02:09:09;STARTED;59986;ea34f312-136a-44aa-9364-f58f8b15bf34
2;2023-11-21T01:13:17;REVERSED;36245;19dac596-61b4-476c-9d2e-402ee75ba2e6
3;2023-11-20T11:57:29;COMPLETE;17231;e28f5c85-91bd-425e-97dc-934522d03ae3
4;2023-11-20T22:17:00;COMPLETE;71981;ad0c0423-76a0-4b7a-a147-75cbd192b952
5;2023-11-21T00:08:57;REVERSED;86783;6a6e9f17-b5ce-420b-ba0a-8303515e0293
6;2023-11-21T05:30:55;COMPLETE;16939;c0ba3269-79a8-48f5-9706-2c0bfe36baac
7;2023-11-21T05:16:07;REVERSED;78771;018a73af-08c4-41e6-b57c-e9da7508ede7
8;2023-11-21T08:55:03;STARTED;80914;17bc2e23-d899-4969-b8c2-feebe76f0162
9;2023-11-21T00:33:41;COMPLETE;29328;0ddedc33-bd88-445a-ba9b-3b338a430c55
10;2023-11-20T22:16:14;COMPLETE;17790;ae9d1526-ba5a-498b-842c-880905319052
