id;inactive;amortization_periods;processed;compilation_token;prepayment_account_id;first_fiscal_month_id;last_fiscal_month_id;first_amortization_period_id
1;true;18273;true;93934c81-22a1-4059-8036-743ad5522509;1;1;1;1
2;false;66394;true;9494cf75-d683-429c-bd57-de7ab96d511f;2;2;2;2
3;false;53370;true;3538ccc4-8a2a-474a-a48b-f93e9a29cbd8;3;3;3;3
4;true;26223;true;bdacee4e-75b2-4977-ad3d-8ccb9190fa18;4;4;4;4
5;true;84046;true;8776eb2c-8fba-4e46-80c8-fb45a57bc33c;5;5;5;5
6;true;93329;false;b46e083d-161b-46a4-b189-9cdf53a75c57;6;6;6;6
7;true;65735;true;afbe419b-f05d-4445-8913-dcb9a5c09b53;7;7;7;7
8;true;98702;true;2c9b7f45-a9a0-413a-8765-871bb2082a3a;8;8;8;8
9;false;78420;true;0057bfa2-db3d-4428-bf3b-ca05c50974d5;9;9;9;9
10;false;91150;true;692b679c-b475-4635-8a41-f9a8975e2347;10;10;10;10
