id;product_code;product_type;product_type_description
1;Facilitator Kids Account;Facilitator Cliffs;../fake-data/blob/hipster.txt
2;Burg challenge Tactics;plum Car;../fake-data/blob/hipster.txt
3;Intelligent Beauty;input;../fake-data/blob/hipster.txt
4;deliverables Metal;Sleek Springs Directives;../fake-data/blob/hipster.txt
5;Licensed Keyboard parsing;Islands;../fake-data/blob/hipster.txt
6;Intelligent Sleek;feed;../fake-data/blob/hipster.txt
7;Rubber Business-focused Gorgeous;Advanced optical;../fake-data/blob/hipster.txt
8;Account;utilize;../fake-data/blob/hipster.txt
9;Universal;Music Curve intelligence;../fake-data/blob/hipster.txt
10;bypass;Steel Granite;../fake-data/blob/hipster.txt
