id;catalogue_number;designation;description;notes;notes_content_type;report_file;report_file_content_type;report_file_checksum;security_clearance_id;report_designer_id;organization_id;department_id;system_module_id;file_check_sum_algorithm_id
1;ded80bfc-f6ae-4527-91a6-bdeb6f4d82a7;Generic Republic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;implementation Table Coves;1;1;1;1;1;1
2;9610b75a-f804-4b57-b1ad-171b4d1047f7;Hampshire Reduced;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Devolved compressing;2;2;2;2;2;2
3;ce800866-f17b-49a3-8364-9345d26d9339;Berkshire North Fully-configurable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Buckinghamshire;3;1;3;3;3;3
4;35f50c8d-9d18-4fa7-8ce8-c3ed10b8c391;syndicate Quality;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;application Generic ADP;4;1;4;4;4;4
5;5259ee63-8c7f-47ff-b409-591bc91dcc91;e-tailers Kansas;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Representative;5;1;5;5;5;5
6;29104712-26e5-4876-a880-f325dee4ada1;RSS B2B Assistant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;up website;6;2;6;6;6;6
7;a6c1171f-1c7f-425a-9a0f-ef934fafd568;Zealand platforms;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Analyst portals;7;1;7;7;7;7
8;2f9732aa-16d3-49d2-9dbd-8f78b29485ab;granular Turkmenistan online;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;purple Realigned;8;1;8;8;8;8
9;094d8596-9ad3-483c-b518-bd066b03a38b;fuchsia Consultant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;invoice card Dollar;9;1;9;9;9;9
10;53af9c21-4043-4908-8dde-aac3b5bd000a;Berkshire Awesome Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;AI;10;1;10;10;10;10
