id;asset_account_name;asset_account_number;depreciation_account_number;total_lease_amount;accrued_depreciation_amount;current_period_depreciation_amount;net_book_value;fiscal_period_end_date
1;well-modulated deposit;redundant;Architect reboot Ergonomic;3009;77746;9435;4371;2024-03-13
2;GB next;Cambridgeshire incubate Wisconsin;Spring;78633;68666;25034;19550;2024-03-13
3;XML Usability;portals Planner;Architect optimizing facilitate;25984;3974;91949;13888;2024-03-12
4;Jewelery;Berkshire;Cambridgeshire;26713;12785;15630;31222;2024-03-12
5;Future interfaces matrix;Gloves Springs optimize;matrix Frozen;19611;11429;10279;56014;2024-03-12
6;Gloves Reactive;Dinar partnerships Lead;interfaces seize;37165;40797;72647;58799;2024-03-13
7;Maine Shoes;Avon integrate;SMS;70842;84928;41712;7524;2024-03-12
8;Indiana Granite;Clothing JSON;matrices Handmade deposit;82199;83865;51726;62719;2024-03-13
9;cutting-edge extensible;Avon Borders;withdrawal RSS;61176;79289;92902;85138;2024-03-13
10;Functionality Bike JSON;mobile cohesive;Soap Refined Streamlined;98073;22991;46960;54962;2024-03-13
