id;description;depreciation_amount;outstanding_amount;rou_asset_identifier;rou_depreciation_identifier;sequence_number;activated;is_deleted;batch_job_identifier;depreciation_amount_step_identifier;outstanding_amount_step_identifier;flag_amortised_step_identifier;compilation_time;invalidated;debit_account_id;credit_account_id;asset_category_id;lease_contract_id;rou_metadata_id;lease_period_id
1;SMTP Supervisor;87226;69292;f954f9c2-2d82-4554-a228-a5e3f9e7149c;dd163704-0757-4a9e-957c-1ab8cfa220de;15292;false;true;96b8f301-1dc4-4a1a-9a16-c2cf37dc3111;6d332ba8-22f2-459d-8e59-8e5c075bff47;b1e51fae-9fea-4d0f-af2e-cb256d9682d7;87f840d7-114b-46fd-b69e-cc0be5b04ae3;2024-03-07T09:47:50;true;1;1;1;1;1;1
2;budgetary;99817;9170;fc63ffa8-1811-456f-bff2-de07e19ab36c;25a60bcb-804b-40cb-9fc7-d41840c9866f;87280;true;true;a3b269ef-f212-493e-bebd-964eb6102582;7f03ee9a-2f10-41e9-8e4f-3899fa30bbb1;42737799-4c06-45a4-a622-c44939bd5f02;c7e75a39-5f6a-4ad1-a415-4fa4bf7ecbdf;2024-03-06T13:16:06;false;2;2;2;2;2;2
3;program;44975;67589;480a2405-a6ed-49f0-bf02-378ca27f00dd;c4b262b6-678d-45a3-ad26-e80714f35aba;41562;true;true;cfdb98ca-f7e4-434d-930b-ec01261be435;5b8a6102-2ef1-4b3c-bfec-611a7c79dc8b;070e8773-a333-47d1-9396-3caeb8689ce0;ba3f0f95-1652-4451-bc9c-6086ab0168aa;2024-03-07T07:16:53;true;3;3;3;3;3;3
4;Vermont program;38865;57650;dc802ddf-32fc-4c19-b3b5-ed2cb620c901;136f433f-b77d-451e-96b1-d92ae9d2d5b9;43537;false;false;162ef736-d2fb-4516-befe-677801a6603f;e5cc4c7a-043b-4084-87f4-479e904766ae;d39bf529-681e-42af-b746-a6727b0b5c47;77ba9a06-4769-4db7-b2ed-608cd0165193;2024-03-07T05:56:16;true;4;4;4;4;4;4
5;Account solution-oriented Jewelery;2165;42500;aa2f61bd-e21e-45e7-8d0d-a0fcbc278e36;de940369-b914-4356-aeb2-b5f95aae6c23;34326;true;false;bab7a6de-c514-499c-8bb0-4f4c755f4964;955a5d31-bbab-4600-bc06-cd7fde1ad481;781e7f72-6b0d-49b2-8b49-4a3e271f2331;45b60661-8aa5-40cf-93a6-03ec90377bcd;2024-03-06T20:35:05;true;5;5;5;5;5;5
6;Rubber;70371;44458;56a85b43-d67b-482a-a1ce-057772d810eb;d9b062e0-06a9-4f9e-973e-e2c89372b9a2;49785;true;false;c1990c57-5ffa-46dc-9b5d-27add47a4bbd;8a8dbf51-92ef-48b0-86d5-c6b37fb4f539;6bb69b2b-d018-4464-98f7-8e0e4eb1466b;f361e87b-aca9-49e8-83c6-1fdb6f9a4d82;2024-03-07T02:28:44;false;6;6;6;6;6;6
7;Cambridgeshire Buckinghamshire;25263;12802;dbda5ddb-e9bb-437c-b0ac-75980d39fbe0;05661891-08ac-4a15-8bc6-c0e2998ea1e6;2347;true;false;e31f496b-4880-4447-9251-daaaf64d29ff;9208d36c-8688-4826-a08c-71f13cd162c7;4543f027-32e1-4a6e-b070-4a75eb144d9e;700cc3fb-f3c7-4c52-896f-edad32671a0f;2024-03-06T21:15:29;false;7;7;7;7;7;7
8;SDD;88624;66719;8ec42a31-9881-4f4a-ab3a-31e2235a0804;606b99fa-910c-434a-baef-7cdac60b1432;71222;true;true;4a01c733-363f-4ea9-b34f-1a854799703e;146b35dc-1e38-4a1b-b5e1-5f8ab4f65096;415085f4-2c68-423e-94d6-b3604273fe01;3aea2d9f-d46c-40fe-8105-3a4eabad8a25;2024-03-06T11:50:32;true;8;8;8;8;8;8
9;Carolina Metal;90329;64006;fe67dbdf-1740-4d24-b69f-ad183bea016a;c87dffe4-b793-4828-a296-5873b45d131e;86727;true;true;ac06ea54-afed-400c-9fbe-6f99181b0370;f03ef319-1979-40ba-8be5-3c13f8228e9e;5f22e63b-9417-4ead-90c7-005425272393;91994c52-7177-48bc-a869-0e6ed98e9a22;2024-03-07T05:26:21;false;9;9;9;9;9;9
10;Concrete Exclusive;40997;51537;4c063c68-fd23-4284-a363-fff6063b8f70;ea8e8201-1967-46f8-b0b1-7b0a4384ee01;31562;false;false;b8e25233-9195-49ee-894b-975cc25df268;954d9179-084c-4316-ba9a-162730fa5710;ef61dd4a-07c4-49a9-b527-60dcc0d58ab5;e2a2e170-23e8-4a0e-9114-3fc78e3f9fc2;2024-03-07T10:14:37;true;10;10;10;10;10;10
