id;requisition_id;time_of_request;depreciation_process_status;number_of_enumerated_items;batch_job_identifier;depreciation_amount_step_identifier;outstanding_amount_step_identifier;flag_amortised_step_identifier;compilation_time;invalidated
1;a97ffeba-e379-4d18-871d-8347c56f45dc;2024-03-13T06:23:03;RUNNING;46277;c1c3e814-197b-4d30-9896-9696bd02a497;6f674479-957c-4608-ba36-6854414847f3;9d7bbce1-35e2-49dc-92c0-4d4da8d556c7;5e6e93da-c292-4dc2-9680-640568a66f86;2024-03-12T10:01:42;true
2;26c276af-eb9a-4651-8dd3-eb6a3437a517;2024-03-12T13:23:13;STARTED;60372;4cedae9e-6546-4238-acd4-660ea7797415;e48f9949-c88c-4eb0-9f1b-12f2668d52b1;fa1f97a2-47a0-45ec-9a73-8f5cc112873b;2329fd79-fed3-4fae-ba0d-c05196eec694;2024-03-12T15:57:02;true
3;ea75a77d-d472-46c8-a72b-4e66c7954c01;2024-03-12T16:53:25;ERRORED;7340;0a9c79f6-7d60-4f29-adc4-160bb717ea23;b1f89a05-3166-4d2a-a23a-748875479a53;858231da-144d-4908-aa7e-9eeaeccc9fb7;cd47fce3-17fb-45f4-9c9f-2a57fad621e2;2024-03-12T16:10:34;false
4;7c4f2a0f-2227-45c0-a223-8ea2e660a8ac;2024-03-12T11:46:40;COMPLETE;88572;31159516-9091-4636-be5b-104129782334;2fd38885-fac6-4409-ba1a-29047ccffdaf;a2f24be4-f2c0-4e02-894c-494f7abdb2bb;5614245c-069c-43c7-8f1a-a62d05ba699e;2024-03-13T06:41:02;true
5;ef81cb8b-46d7-463a-b72f-5fb7bebd2557;2024-03-12T19:48:19;RUNNING;50890;6680b9fb-3a06-4d68-bd9a-bc889cb540b8;d84adb30-efd9-4ff0-9db6-eea4e7ae4cbd;dfeb9297-8177-41ab-bd9a-89c8baf3a385;8e771c09-1237-45e8-b3e2-7ae9b380c722;2024-03-13T02:18:25;false
6;a1e70a21-ba2a-40c1-ba2f-bb9d4b0fa844;2024-03-13T07:51:55;COMPLETE;9537;6b1c0387-3300-4e9f-9034-21f26dfbaa2e;5db93554-e7af-4286-b08f-120c585f4fb6;5e9fbf9f-0af1-4a90-a008-0e3da2f2e7b6;8d142cc5-34e5-474a-b638-5770470945e5;2024-03-13T02:43:56;false
7;6f710f83-731c-4b53-8b18-6a8e62cd9bc9;2024-03-12T19:43:59;RUNNING;91821;6b5e2171-6f30-4025-b132-66a440daed58;71d9b977-2142-4e20-a7e1-59d966b9fd50;75e659a4-0462-49de-9f5e-496954faf173;fc2c6d50-cef2-4a97-9618-33109a265d76;2024-03-12T13:32:40;false
8;7955e8c4-4151-4217-8cf3-cc720aa06dd3;2024-03-12T21:39:18;RUNNING;12301;998fa17a-3ffc-4d8b-8318-bbb03d266bb9;18d02c33-ec6e-4674-8dec-2339e8e557df;b6a3f5f1-c534-4340-9acd-3857ea940e66;d010c2b1-98a9-4367-b6ec-d9b37ee92539;2024-03-13T06:11:13;false
9;8fe50acd-958b-497c-992b-0ef98f9d33db;2024-03-12T18:25:05;ERRORED;70913;e53b033d-5e40-4cdc-83f4-2a39d604f815;3c79b5ce-c60b-4efb-be96-5fda55f89dba;ff9ad10c-e846-4778-a7f1-f94fe74e57ab;58138465-9072-4b3b-b08d-9c9b8afcd3af;2024-03-12T22:50:31;false
10;e8348437-9c80-4d3d-8fdc-120c3c051245;2024-03-13T07:51:26;RUNNING;33925;7f295ba2-fb0b-40e1-a499-80cfc0574caf;4cc706ce-2c2a-4a67-8fa7-0727f81b759e;88fc5c74-7a05-49c8-a285-92b0504d8642;1ab981e2-469a-4cea-b024-8a0238ef0687;2024-03-12T09:36:43;true
