id;model_title;model_version;description;lease_term_periods;lease_amount;rou_model_reference;commencement_date;expiration_date;has_been_fully_amortised;has_been_decommissioned;batch_job_identifier;depreciation_amount_step_identifier;outstanding_amount_step_identifier;flag_amortised_step_identifier;compilation_time;ifrs16lease_contract_id;asset_account_id;depreciation_account_id;accrued_depreciation_account_id
1;Rubber;12486;Centralized pink;65020;17803;9ddde4a9-328d-4015-82c2-52b6272c9edb;2024-03-06;2024-03-06;true;true;efe990d5-3703-4e31-a32e-b3383c4e8c51;11432f21-4c70-4eb1-9c92-d225122b129b;8603680d-d716-46f3-b492-3009a38e2b53;4e3c3813-1433-4df9-b4db-f747149a4784;2024-03-06T12:13:33;1;1;1;1
2;Factors utilize Iraqi;69030;transmit;2368;48991;bfbfe692-a007-42fa-a622-555db939c281;2024-03-06;2024-03-06;true;true;43644881-32fd-4625-b963-b3851f6adb49;14c4f4ee-77f3-43cc-8550-3ae6b48c42b0;0c8b438b-1439-433e-a4b0-8e43ecac5112;39994b17-262f-48e0-8f6e-a8edb5c2ff08;2024-03-07T01:48:20;2;2;2;2
3;Account;57509;Web;72690;36649;c455850c-92d5-4328-b6da-9b3d4edba869;2024-03-06;2024-03-06;false;true;dc3be1b7-1ac2-4d22-8681-55bd5204f291;c02eded3-045c-49b2-882e-761e7723806e;1a6cd046-8753-4ece-b479-ec531b9a6f39;0ed64204-59e1-45c8-9629-c16cccc7ee7f;2024-03-07T01:55:21;3;3;3;3
4;Home;25820;bypassing;31349;65081;d9d28221-ec4b-4e71-b273-a4295c3537a1;2024-03-06;2024-03-07;false;false;b3e60e14-0e50-4195-b569-8e0318b6d40e;8a0b4847-17ec-41ec-a1dd-fef1a4599fee;51fb4be9-104e-4583-90c9-6fd513997560;0524e0a5-f104-4b9a-aae8-ce7a22e81ffd;2024-03-06T08:55:09;4;4;4;4
5;parsing;69600;cyan Cambridgeshire Frozen;45448;52164;13c415ef-f1f7-43f6-bd11-5d82b124ba14;2024-03-06;2024-03-06;true;false;4ec1fb6d-6075-4965-bb1c-3a656723aa15;c584be3f-a4d9-4dc4-9fbd-15113d26d94a;563ec206-b94a-4274-948c-482fecebe3df;6f4b0b48-aed6-4c6a-9f19-3a83ba62b383;2024-03-06T12:47:22;5;5;5;5
6;Frozen Direct Georgia;64539;Tuna;29371;18168;6353aa6c-8fe3-4c7b-887d-6eb325aaa498;2024-03-07;2024-03-06;true;false;373ee8cc-cd49-4cdd-8df0-2481bdac1757;0d354639-d984-4805-962e-d09a21462dc2;134fac57-2d67-4b08-860b-bb0ec93221dd;a15f90cf-17b8-42d8-aa72-1416918ff6ce;2024-03-07T02:04:01;6;6;6;6
7;Bacon;33441;SDD Shilling;79624;56134;c81ddd05-0b7f-4dea-94bf-23332c1c4bd0;2024-03-06;2024-03-06;false;false;ea19c39c-f07c-4445-8410-51d973489b09;31836bbb-bb0f-42f8-90d6-cf46d7272a4f;4a79fcdb-2c78-426f-a4be-ebada5341479;b2740fdf-10eb-470c-8852-69cc290465c5;2024-03-06T16:05:01;7;7;7;7
8;Officer database;43253;Card;35080;36977;548e5d2f-b39e-4dff-ac15-a96400d0fa85;2024-03-06;2024-03-07;false;false;f08e16fc-90f2-4445-9eee-0bd21ac503b5;b3965252-0525-437c-8e16-732edb9c5a63;1fb8544a-7392-4b5e-b004-d90793dd7fdc;10da0f5d-1ed7-4a61-88c1-e240806eb2e0;2024-03-06T09:17:18;8;8;8;8
9;Rial Account;43433;architect;73100;26122;5b6975e9-6104-4e8d-a67c-6f1d6197f85d;2024-03-06;2024-03-06;true;true;48c42e8c-bc3a-44de-9e3d-433f847f145c;94072a08-6b40-4f57-86e6-18298900f62f;d2ce5c35-b039-4bdd-b5c4-55f587bf0ae9;695bc24c-ed8c-4526-b9a1-02b7654d83a3;2024-03-06T17:07:27;9;9;9;9
10;invoice grey;87924;International Investor blockchains;31075;30440;26961f57-3594-4dce-8071-c0534d31e3be;2024-03-06;2024-03-07;false;true;288d1290-d3e4-4288-b45d-153f0747b54c;223f4f81-36ff-4fb4-a7dd-382aa7b7a31b;f7c3986d-3176-42d3-b77a-53dfed2e4d09;44a0de8a-5dda-45b9-a969-ecd3290af4d2;2024-03-07T03:39:11;10;10;10;10
